,model,epoch,channel,fold,metric,value
0,resnet,0,1,train,loss,2.1907894422331124
1,resnet,0,1,train,acc,0.1793
2,resnet,0,1,val,loss,2.1887520012582184
3,resnet,0,1,val,acc,0.18
4,resnet,0,9,train,loss,1.47825629677614
5,resnet,0,9,train,acc,0.4637
6,resnet,0,9,val,loss,1.499067496342264
7,resnet,0,9,val,acc,0.4556
8,resnet,0,17,train,loss,1.3181427490070958
9,resnet,0,17,train,acc,0.52986
10,resnet,0,17,val,loss,1.3578499084824969
11,resnet,0,17,val,acc,0.5099
12,resnet,0,25,train,loss,1.246602854993947
13,resnet,0,25,train,acc,0.55696
14,resnet,0,25,val,loss,1.2882557063345697
15,resnet,0,25,val,acc,0.5404
16,resnet,0,33,train,loss,1.1512958726004872
17,resnet,0,33,train,acc,0.59446
18,resnet,0,33,val,loss,1.2010005097480336
19,resnet,0,33,val,acc,0.5764
20,resnet,0,41,train,loss,1.0952956155895273
21,resnet,0,41,train,acc,0.61072
22,resnet,0,41,val,loss,1.1780794559011034
23,resnet,0,41,val,acc,0.5792
24,resnet,0,49,train,loss,1.1123473580231142
25,resnet,0,49,train,acc,0.60604
26,resnet,0,49,val,loss,1.1761195625469183
27,resnet,0,49,val,acc,0.5788
28,resnet,0,57,train,loss,1.0549598567930938
29,resnet,0,57,train,acc,0.62274
30,resnet,0,57,val,loss,1.1144961570478549
31,resnet,0,57,val,acc,0.6017
32,resnet,0,64,train,loss,1.0525875294299991
33,resnet,0,64,train,acc,0.62562
34,resnet,0,64,val,loss,1.1175442315210962
35,resnet,0,64,val,acc,0.6027
36,resnet,1,1,train,loss,2.0470988119349762
37,resnet,1,1,train,acc,0.22884
38,resnet,1,1,val,loss,2.0419898891145256
39,resnet,1,1,val,acc,0.2352
40,resnet,1,9,train,loss,1.3122872327599684
41,resnet,1,9,train,acc,0.52402
42,resnet,1,9,val,loss,1.3542619871485764
43,resnet,1,9,val,acc,0.5054
44,resnet,1,17,train,loss,1.1169496020087806
45,resnet,1,17,train,acc,0.60328
46,resnet,1,17,val,loss,1.200868019632473
47,resnet,1,17,val,acc,0.5758
48,resnet,1,25,train,loss,0.9941652857738993
49,resnet,1,25,train,acc,0.65118
50,resnet,1,25,val,loss,1.0778580061189689
51,resnet,1,25,val,acc,0.6188
52,resnet,1,33,train,loss,0.9506042689618552
53,resnet,1,33,train,acc,0.65938
54,resnet,1,33,val,loss,1.0453835835882053
55,resnet,1,33,val,acc,0.6332
56,resnet,1,41,train,loss,0.8876164502576184
57,resnet,1,41,train,acc,0.69024
58,resnet,1,41,val,loss,0.9926226279538148
59,resnet,1,41,val,acc,0.6548
60,resnet,1,49,train,loss,0.8695147074092074
61,resnet,1,49,train,acc,0.69864
62,resnet,1,49,val,loss,0.9714258897836041
63,resnet,1,49,val,acc,0.6638
64,resnet,1,57,train,loss,0.8578749356214957
65,resnet,1,57,train,acc,0.69732
66,resnet,1,57,val,loss,0.9549904404931767
67,resnet,1,57,val,acc,0.6686
68,resnet,1,64,train,loss,0.8209947584306493
69,resnet,1,64,train,acc,0.7109
70,resnet,1,64,val,loss,0.9420598179671416
71,resnet,1,64,val,acc,0.6706
72,resnet,2,1,train,loss,1.9940656704061173
73,resnet,2,1,train,acc,0.24414
74,resnet,2,1,val,loss,1.9886297397552781
75,resnet,2,1,val,acc,0.2488
76,resnet,2,9,train,loss,1.2175371127817638
77,resnet,2,9,train,acc,0.55982
78,resnet,2,9,val,loss,1.2745644279346344
79,resnet,2,9,val,acc,0.5366
80,resnet,2,17,train,loss,0.9936238762820163
81,resnet,2,17,train,acc,0.64848
82,resnet,2,17,val,loss,1.096896361773181
83,resnet,2,17,val,acc,0.6102
84,resnet,2,25,train,loss,0.852685741527611
85,resnet,2,25,train,acc,0.69954
86,resnet,2,25,val,loss,0.981671632095507
87,resnet,2,25,val,acc,0.6539
88,resnet,2,33,train,loss,0.7966864355994613
89,resnet,2,33,train,acc,0.71894
90,resnet,2,33,val,loss,0.9408811729425078
91,resnet,2,33,val,acc,0.6765
92,resnet,2,41,train,loss,0.7719834590583201
93,resnet,2,41,train,acc,0.73056
94,resnet,2,41,val,loss,0.9182640314102173
95,resnet,2,41,val,acc,0.6804
96,resnet,2,49,train,loss,0.7220728568103917
97,resnet,2,49,train,acc,0.74804
98,resnet,2,49,val,loss,0.8836399054831001
99,resnet,2,49,val,acc,0.6949
100,resnet,2,57,train,loss,0.6956661488393994
101,resnet,2,57,train,acc,0.7565
102,resnet,2,57,val,loss,0.855826843316388
103,resnet,2,57,val,acc,0.7013
104,resnet,2,64,train,loss,0.6840624457506268
105,resnet,2,64,train,acc,0.76394
106,resnet,2,64,val,loss,0.8416896517489366
107,resnet,2,64,val,acc,0.7073
108,resnet,3,1,train,loss,1.9493328584429552
109,resnet,3,1,train,acc,0.26972
110,resnet,3,1,val,loss,1.9461005075721984
111,resnet,3,1,val,acc,0.2708
112,resnet,3,9,train,loss,1.1284197138246064
113,resnet,3,9,train,acc,0.59542
114,resnet,3,9,val,loss,1.2042815901671247
115,resnet,3,9,val,acc,0.5676
116,resnet,3,17,train,loss,0.8915340691576223
117,resnet,3,17,train,acc,0.68498
118,resnet,3,17,val,loss,1.0448547639664572
119,resnet,3,17,val,acc,0.6292
120,resnet,3,25,train,loss,0.7392807999992614
121,resnet,3,25,train,acc,0.74164
122,resnet,3,25,val,loss,0.9261633985361476
123,resnet,3,25,val,acc,0.6766
124,resnet,3,33,train,loss,0.6652044347485008
125,resnet,3,33,train,acc,0.77064
126,resnet,3,33,val,loss,0.8706868412388358
127,resnet,3,33,val,acc,0.7039
128,resnet,3,41,train,loss,0.6762358138856985
129,resnet,3,41,train,acc,0.76308
130,resnet,3,41,val,loss,0.8876718322562563
131,resnet,3,41,val,acc,0.6896
132,resnet,3,49,train,loss,0.5998467563287072
133,resnet,3,49,train,acc,0.79346
134,resnet,3,49,val,loss,0.8209829508878623
135,resnet,3,49,val,acc,0.7149
136,resnet,3,57,train,loss,0.5580583488011299
137,resnet,3,57,train,acc,0.80944
138,resnet,3,57,val,loss,0.7807945434454899
139,resnet,3,57,val,acc,0.732
140,resnet,3,64,train,loss,0.6048822189535936
141,resnet,3,64,train,acc,0.79112
142,resnet,3,64,val,loss,0.8411632548471925
143,resnet,3,64,val,acc,0.7088
144,resnet,4,1,train,loss,1.9148159440216201
145,resnet,4,1,train,acc,0.27792
146,resnet,4,1,val,loss,1.9123665648660841
147,resnet,4,1,val,acc,0.2755
148,resnet,4,9,train,loss,1.069039706226505
149,resnet,4,9,train,acc,0.61644
150,resnet,4,9,val,loss,1.1679786246293669
151,resnet,4,9,val,acc,0.5807
152,resnet,4,17,train,loss,0.8522652825126258
153,resnet,4,17,train,acc,0.70118
154,resnet,4,17,val,loss,1.0241706929389078
155,resnet,4,17,val,acc,0.6435
156,resnet,4,25,train,loss,0.6743407914858035
157,resnet,4,25,train,acc,0.76656
158,resnet,4,25,val,loss,0.9101364578411077
159,resnet,4,25,val,acc,0.6897
160,resnet,4,33,train,loss,0.6225581763269347
161,resnet,4,33,train,acc,0.78544
162,resnet,4,33,val,loss,0.8804936538076704
163,resnet,4,33,val,acc,0.7033
164,resnet,4,41,train,loss,0.5325037150279336
165,resnet,4,41,train,acc,0.81576
166,resnet,4,41,val,loss,0.8200316343717514
167,resnet,4,41,val,acc,0.7223
168,resnet,4,49,train,loss,0.5202846985758113
169,resnet,4,49,train,acc,0.81866
170,resnet,4,49,val,loss,0.8044116487548609
171,resnet,4,49,val,acc,0.7322
172,resnet,4,57,train,loss,0.4905421503478914
173,resnet,4,57,train,acc,0.83132
174,resnet,4,57,val,loss,0.7925072887520881
175,resnet,4,57,val,acc,0.7364
176,resnet,4,64,train,loss,0.49807344969657374
177,resnet,4,64,train,acc,0.82762
178,resnet,4,64,val,loss,0.8088924962623864
179,resnet,4,64,val,acc,0.7275
180,resnet,5,1,train,loss,1.884145667028549
181,resnet,5,1,train,acc,0.28716
182,resnet,5,1,val,loss,1.8861834615658803
183,resnet,5,1,val,acc,0.2892
184,resnet,5,9,train,loss,1.03307023118524
185,resnet,5,9,train,acc,0.63216
186,resnet,5,9,val,loss,1.1565858596449445
187,resnet,5,9,val,acc,0.592
188,resnet,5,17,train,loss,0.7361595596727508
189,resnet,5,17,train,acc,0.74446
190,resnet,5,17,val,loss,0.9508934263970442
191,resnet,5,17,val,acc,0.6722
192,resnet,5,25,train,loss,0.6000003130615824
193,resnet,5,25,train,acc,0.7908
194,resnet,5,25,val,loss,0.8960533195240482
195,resnet,5,25,val,acc,0.6986
196,resnet,5,33,train,loss,0.5243803956319609
197,resnet,5,33,train,acc,0.81812
198,resnet,5,33,val,loss,0.8422677361281814
199,resnet,5,33,val,acc,0.7173
200,resnet,5,41,train,loss,0.43309833048402196
201,resnet,5,41,train,acc,0.85292
202,resnet,5,41,val,loss,0.7844553039332104
203,resnet,5,41,val,acc,0.7355
204,resnet,5,49,train,loss,0.4353212584429385
205,resnet,5,49,train,acc,0.85022
206,resnet,5,49,val,loss,0.7940066206227442
207,resnet,5,49,val,acc,0.7341
208,resnet,5,57,train,loss,0.4121030849568984
209,resnet,5,57,train,acc,0.85708
210,resnet,5,57,val,loss,0.8053795924991559
211,resnet,5,57,val,acc,0.7401
212,resnet,5,64,train,loss,0.4098374106351982
213,resnet,5,64,train,acc,0.86116
214,resnet,5,64,val,loss,0.7980057170056993
215,resnet,5,64,val,acc,0.7375
216,resnet,6,1,train,loss,1.8491921392852997
217,resnet,6,1,train,acc,0.3064
218,resnet,6,1,val,loss,1.8499636338774565
219,resnet,6,1,val,acc,0.299
220,resnet,6,9,train,loss,0.9823976897675059
221,resnet,6,9,train,acc,0.64872
222,resnet,6,9,val,loss,1.1257415019023191
223,resnet,6,9,val,acc,0.6037
224,resnet,6,17,train,loss,0.6931291206947068
225,resnet,6,17,train,acc,0.75554
226,resnet,6,17,val,loss,0.9824965786022745
227,resnet,6,17,val,acc,0.6648
228,resnet,6,25,train,loss,0.5619966196815681
229,resnet,6,25,train,acc,0.80282
230,resnet,6,25,val,loss,0.8959657883947822
231,resnet,6,25,val,acc,0.699
232,resnet,6,33,train,loss,0.42254648771127473
233,resnet,6,33,train,acc,0.85768
234,resnet,6,33,val,loss,0.8276624776375522
235,resnet,6,33,val,acc,0.7198
236,resnet,6,41,train,loss,0.3663990545036543
237,resnet,6,41,train,acc,0.87644
238,resnet,6,41,val,loss,0.8020738704948668
239,resnet,6,41,val,acc,0.7364
240,resnet,6,49,train,loss,0.3597201223454207
241,resnet,6,49,train,acc,0.87976
242,resnet,6,49,val,loss,0.804594416337408
243,resnet,6,49,val,acc,0.7414
244,resnet,6,57,train,loss,0.30859658348819485
245,resnet,6,57,train,acc,0.89442
246,resnet,6,57,val,loss,0.8034234679048988
247,resnet,6,57,val,acc,0.7486
248,resnet,6,64,train,loss,0.3079257462545277
249,resnet,6,64,train,acc,0.89336
250,resnet,6,64,val,loss,0.7616016187105968
251,resnet,6,64,val,acc,0.755
252,resnet,7,1,train,loss,1.8246397834909542
253,resnet,7,1,train,acc,0.32306
254,resnet,7,1,val,loss,1.8315198937798762
255,resnet,7,1,val,acc,0.3153
256,resnet,7,9,train,loss,0.9219700268772252
257,resnet,7,9,train,acc,0.66998
258,resnet,7,9,val,loss,1.0865534893266715
259,resnet,7,9,val,acc,0.613
260,resnet,7,17,train,loss,0.6463432616132605
261,resnet,7,17,train,acc,0.77376
262,resnet,7,17,val,loss,0.977818688389602
263,resnet,7,17,val,acc,0.6679
264,resnet,7,25,train,loss,0.4912878733766658
265,resnet,7,25,train,acc,0.82992
266,resnet,7,25,val,loss,0.8938687189369444
267,resnet,7,25,val,acc,0.7063
268,resnet,7,33,train,loss,0.3755946313709859
269,resnet,7,33,train,acc,0.86982
270,resnet,7,33,val,loss,0.8561277685651354
271,resnet,7,33,val,acc,0.7277
272,resnet,7,41,train,loss,0.31025811860247343
273,resnet,7,41,train,acc,0.8952
274,resnet,7,41,val,loss,0.8156664158887924
275,resnet,7,41,val,acc,0.7424
276,resnet,7,49,train,loss,0.29121812759800947
277,resnet,7,49,train,acc,0.90006
278,resnet,7,49,val,loss,0.8466203791700351
279,resnet,7,49,val,acc,0.7406
280,resnet,7,57,train,loss,0.2588122046131002
281,resnet,7,57,train,acc,0.91238
282,resnet,7,57,val,loss,0.8155061815195023
283,resnet,7,57,val,acc,0.7521
284,resnet,7,64,train,loss,0.23785490421649744
285,resnet,7,64,train,acc,0.92248
286,resnet,7,64,val,loss,0.7845187380815007
287,resnet,7,64,val,acc,0.756
288,resnet,8,1,train,loss,1.8065396669270741
289,resnet,8,1,train,acc,0.33148
290,resnet,8,1,val,loss,1.8136427235451473
291,resnet,8,1,val,acc,0.3272
292,resnet,8,9,train,loss,0.8883472165030897
293,resnet,8,9,train,acc,0.68156
294,resnet,8,9,val,loss,1.0814036875014092
295,resnet,8,9,val,acc,0.6163
296,resnet,8,17,train,loss,0.5751505389695277
297,resnet,8,17,train,acc,0.7988
298,resnet,8,17,val,loss,0.9686127468279213
299,resnet,8,17,val,acc,0.672
300,resnet,8,25,train,loss,0.41638913874507255
301,resnet,8,25,train,acc,0.85526
302,resnet,8,25,val,loss,0.8925544234218111
303,resnet,8,25,val,acc,0.7156
304,resnet,8,33,train,loss,0.3261533180809082
305,resnet,8,33,train,acc,0.88796
306,resnet,8,33,val,loss,0.8954704561430937
307,resnet,8,33,val,acc,0.7243
308,resnet,8,41,train,loss,0.2677709503037393
309,resnet,8,41,train,acc,0.9082
310,resnet,8,41,val,loss,0.8751659810922707
311,resnet,8,41,val,acc,0.7343
312,resnet,8,49,train,loss,0.2282663730480482
313,resnet,8,49,train,acc,0.92406
314,resnet,8,49,val,loss,0.8727043242591201
315,resnet,8,49,val,acc,0.7494
316,resnet,8,57,train,loss,0.24152643519841954
317,resnet,8,57,train,acc,0.91656
318,resnet,8,57,val,loss,0.9265959409012157
319,resnet,8,57,val,acc,0.7453
320,resnet,8,64,train,loss,0.1946794787169341
321,resnet,8,64,train,acc,0.93456
322,resnet,8,64,val,loss,0.8406066456038481
323,resnet,8,64,val,acc,0.7553
324,resnet,9,1,train,loss,1.7916489048382205
325,resnet,9,1,train,acc,0.33706
326,resnet,9,1,val,loss,1.7924979181046699
327,resnet,9,1,val,acc,0.3336
328,resnet,9,9,train,loss,0.8721609043190851
329,resnet,9,9,train,acc,0.69112
330,resnet,9,9,val,loss,1.0863103350256658
331,resnet,9,9,val,acc,0.6223
332,resnet,9,17,train,loss,0.5353222590730623
333,resnet,9,17,train,acc,0.81156
334,resnet,9,17,val,loss,0.9876697830333832
335,resnet,9,17,val,acc,0.6831
336,resnet,9,25,train,loss,0.3896497864743023
337,resnet,9,25,train,acc,0.86364
338,resnet,9,25,val,loss,0.9314012709696582
339,resnet,9,25,val,acc,0.7074
340,resnet,9,33,train,loss,0.27500874896907745
341,resnet,9,33,train,acc,0.90598
342,resnet,9,33,val,loss,0.9078507989075533
343,resnet,9,33,val,acc,0.7224
344,resnet,9,41,train,loss,0.21824725929771543
345,resnet,9,41,train,acc,0.9269
346,resnet,9,41,val,loss,0.8972474727660987
347,resnet,9,41,val,acc,0.7362
348,resnet,9,49,train,loss,0.19828661509772852
349,resnet,9,49,train,acc,0.93236
350,resnet,9,49,val,loss,0.9077402774695378
351,resnet,9,49,val,acc,0.7459
352,resnet,9,57,train,loss,0.18338947314911944
353,resnet,9,57,train,acc,0.93932
354,resnet,9,57,val,loss,0.9283429606325307
355,resnet,9,57,val,acc,0.7489
356,resnet,9,64,train,loss,0.1559015726051329
357,resnet,9,64,train,acc,0.94684
358,resnet,9,64,val,loss,0.8912144876589441
359,resnet,9,64,val,acc,0.7606
360,cond_resnet_one_head,0,1,train,loss,2.635445955159414
361,cond_resnet_one_head,0,1,train,acc,0.19066
362,cond_resnet_one_head,0,1,val,loss,2.6306214454067742
363,cond_resnet_one_head,0,1,val,acc,0.1918
364,cond_resnet_one_head,0,9,train,loss,1.7705843803827719
365,cond_resnet_one_head,0,9,train,acc,0.3705
366,cond_resnet_one_head,0,9,val,loss,1.7660905601112706
367,cond_resnet_one_head,0,9,val,acc,0.3718
368,cond_resnet_one_head,0,17,train,loss,1.5030923194592567
369,cond_resnet_one_head,0,17,train,acc,0.45622
370,cond_resnet_one_head,0,17,val,loss,1.521426099121191
371,cond_resnet_one_head,0,17,val,acc,0.4547
372,cond_resnet_one_head,0,25,train,loss,1.3784825986303637
